Keyword,Cluster,Intent,Output,AIO Risk,Volume,KD,Tier,Flags
funeral costs in [state],Cost calculators,info,prose,med,,,1,geo axis seed // per-state data table required
funeral planning checklist,Cost calculators,info,artifact,med,,,1,PDF download
burial vs cremation cost,Cost calculators,info,prose,high,,,2,
how much does a headstone cost,Cost calculators,info,prose,high,,,3,weak // off product
funeral budget worksheet,Cost calculators,info,artifact,low,,,2,
restore old photos online free,Photo restoration,tool,artifact,low,,,1,entity pressure MyHeritage Remini
free photo restoration,Photo restoration,tool,artifact,low,,,1,
colorize black and white photos free,Photo restoration,tool,artifact,low,,,2,entity pressure Adobe Express // verify SERP
restore damaged old photos,Photo restoration,mixed,artifact,low,,,2,
fix blurry old photo,Photo restoration,tool,artifact,low,,,2,
photo enhancement for funeral,Photo restoration,tool,artifact,low,,,3,Not found demand // validate first
funeral pre planning checklist,Pre need,info,artifact,med,,,1,
end of life planning checklist,Pre need,info,artifact,med,,,1,
funeral wishes template,Pre need,info,artifact,low,,,1,terminates in Living Legacy concierge
my final wishes planner printable,Pre need,info,artifact,low,,,2,
letter to my family after I die,Pre need,info,prose,low,,,2,strong brand fit
end of life binder printable,Pre need,info,artifact,low,,,2,
advance directive form [state],Pre need,info,artifact,med,,,3,"weak // legal YMYL liability, skip"
online pet memorial,Pet loss,mixed,artifact,low,,,1,direct product SERP
pet memorial page,Pet loss,mixed,artifact,low,,,1,
pet loss sympathy messages,Pet loss,info,prose,high,,,3,weak // AIO food
dog memorial ideas,Pet loss,info,prose,med,,,3,
pet cremation cost,Pet loss,info,prose,high,,,2,
pet memorial card template,Pet loss,mixed,artifact,low,,,2,vet clinic white-label angle
what to do when someone dies checklist,Post death admin,info,artifact,high,,,1,checklist PDF survives AIO
executor checklist template,Post death admin,info,artifact,med,,,1,TEMPLATE PAGE
deceased estate checklist,Post death admin,info,artifact,med,,,2,
closing accounts after death checklist,Post death admin,info,artifact,med,,,2,
death notification letter template,Post death admin,info,artifact,low,,,1,church secretary persona fit
how many death certificates do I need,Post death admin,info,prose,high,,,3,weak // AIO food
notifying social security of death,Post death admin,info,prose,high,,,3,weak // gov entity owns SERP
